Date,Open,High,Low,Close,Volume
9/12/2012,0.33875,0.3415,0.3355,0.33975,322608000
9/13/2012,0.34275,0.344,0.3355,0.342,433836000
9/14/2012,0.34175,0.352,0.34175,0.346,339468000
9/17/2012,0.34675,0.34675,0.33275,0.3365,493348000
9/18/2012,0.33275,0.34275,0.3325,0.33875,359952000
9/19/2012,0.3395,0.3475,0.3355,0.34275,451936000
9/20/2012,0.342,0.34375,0.3375,0.34025,320596000
9/21/2012,0.34075,0.34375,0.3395,0.34175,340136000
9/24/2012,0.33625,0.342,0.33575,0.3415,357832000
9/25/2012,0.346,0.3475,0.33475,0.33525,481544000
9/26/2012,0.334,0.33425,0.3255,0.3295,436812000
9/27/2012,0.33025,0.3325,0.3275,0.332,558888000
9/28/2012,0.3305,0.33825,0.32625,0.3335,485508000
10/1/2012,0.335,0.337,0.32675,0.328,504236000
10/2/2012,0.33025,0.33025,0.3255,0.32925,295492000
10/3/2012,0.33,0.331,0.32425,0.326,430872000
10/4/2012,0.32675,0.3425,0.325,0.3405,502608000
10/5/2012,0.3415,0.345,0.33125,0.3325,483068000
10/8/2012,0.33125,0.33275,0.32675,0.32925,240596000
10/9/2012,0.32875,0.32975,0.32125,0.32225,366360000
10/10/2012,0.32075,0.32225,0.3155,0.31675,326568000
10/11/2012,0.31975,0.32075,0.316,0.3185,320516000
10/12/2012,0.31625,0.31875,0.31375,0.31575,260696000
10/15/2012,0.31625,0.32,0.3125,0.31975,249580000
10/16/2012,0.3225,0.33,0.3195,0.329,367696000
10/17/2012,0.325,0.328,0.32175,0.3265,391752000
10/18/2012,0.32575,0.32575,0.32025,0.3215,254772000
10/19/2012,0.31675,0.319,0.301,0.30275,709412000
10/22/2012,0.304,0.30575,0.29675,0.29925,480840000
10/23/2012,0.2965,0.31025,0.29575,0.30825,573948000
10/24/2012,0.31025,0.3115,0.30125,0.30425,332916000
10/25/2012,0.30675,0.31,0.30325,0.3045,307356000
10/26/2012,0.305,0.30675,0.30125,0.30125,389376000
10/31/2012,0.3025,0.305,0.29875,0.2995,347112000
11/1/2012,0.301,0.314,0.30075,0.31375,473220000
11/2/2012,0.317,0.3175,0.31025,0.31225,256700000
11/5/2012,0.3115,0.32675,0.3115,0.3255,444840000
11/6/2012,0.32625,0.32625,0.31975,0.32525,350804000
11/7/2012,0.32275,0.32475,0.31375,0.31525,324620000
11/8/2012,0.31875,0.327,0.31625,0.317,839024000
11/9/2012,0.31875,0.3225,0.30375,0.30475,846280000
11/12/2012,0.30525,0.3065,0.295,0.298,643624000
11/13/2012,0.2965,0.30325,0.2955,0.29575,492120000
11/14/2012,0.2975,0.3005,0.28825,0.2885,619300000
